"App ID";"App Name";"App URL";"App description";"Keywords";"Version";"Age rating";"Language(s)";"Developer ID";"Developer Name";"Category";"Price";"Size";"Last update date";"Release Date";"Average user ratings-current";"Number of user ratings-current";"% of user ratings with 5 stars";"% of user ratings with 4 stars";"% of user ratings with 3 stars";"% of user ratings with 2 stars";"% of user ratings with 1 star"
1387390520;"Cares Well ";"https://itunes.apple.com/us/app/cares-well/id1387390520?mt=8";"Take control of your health here with all your doctor appointments, medical records (EMR), medicine reminders and online consultations in one place. Subscribe for relevant health articles and get notified.";"Cares Well, Rohit Gupta, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.01";12;"English";"1387390519";"Rohit Gupta";"Health & Fitness";0;"35.9 MB";2018-06-17;2018-05-23;NA;NA;NA;NA;NA;NA;NA
1262894054;"CareSynchrony® Family Connections ";"https://itunes.apple.com/us/app/caresynchrony-family-connections/id1262894054?mt=8";"CareSynchrony® Family Connections lets family members stay connected to and also be actively involved in the care of their loved one residing in a senior living community that utilizes the CareSynchrony® platform. With CareSynchrony® Family Connections families can:* Exchange messages with the facility staff* RSVP for community events* Place service requests with community management teams* View pictures and photos of loved ones that have been shared by community staff* Stay informed about the day to day care and activities of loved ones residing in the communityRequirements - you must have a loved one residing in a senior living community that has deployed the CareSynchrony® platform and your access to information should be authorized by facility management.If you have any questions regarding this application please contact support@sanvishealth.com.";"CareSynchrony® Family Connections, SANVIS HEALTH LLC, Business, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"1215911376";"SANVIS HEALTH LLC";"Business";0;"9.7 MB";NA;NA;NA;NA;NA;NA;NA;NA;NA
1114112552;"CareTRx™ Health Programs ";"https://itunes.apple.com/us/app/caretrx-health-programs/id1114112552?mt=8";"The CareTRx™ Health Programs app is a simple to use medication reminder and management app for asthma and COPD patients. It can help you and your family remember to take your medication on time, track and review your symptoms, triggers, peak flow measurements, and more. The CareTRx Health Programs app can only be used with a unique invitation code that you receive from your healthcare provider. With the CareTRx Health Programs app you can:- Set reminders for scheduled doses- Track all medications in one place- Record symptoms, triggers, peak flow, and more- View charts and stats on your activity- Earn badges for healthy habits- View and share reports- Get notifications about medication use and controlThe CareTRx Health Programs app can also be used with the CareTRx Sensor, which fits on some metered-dose inhalers and records when a dose is taken, effectively transforming an inhaler into a smart inhaler. If a medication has scheduled doses, the Sensor will blink when doses are due and automatically sync with the App.Contact UsFor more information about the CareTRx™ Sensor or questions about the CareTRx Health Programs App, visit the Help & Feedback page within the App. For healthcare providers interested in learning more about CareTRx products, please go to http://www.caretrx.com.Designed with Care in Cambridge, MA..";"CareTRx™ Health Programs, Gecko Health Innovations, Inc., Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.7.6";4;"English";"1099290053";"Gecko Health Innovations, Inc.";"Health & Fitness";0;"74.4 MB";NA;2016-05-27;NA;6;83;0;0;0;17
1278276878;"Caring Assistants ";"https://itunes.apple.com/us/app/caring-assistants/id1278276878?mt=8";"App Includes features such as:- Check your schedule. - Clock in and out of your visits.- Check past visit history.-Chat with your Coordinator regarding your shifts.";"Caring Assistants, Caring Professionals Inc, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.1.7";4;"English, Russian, Simplified Chinese, Spanish";"1009492088";"CARING PROFESSIONALS INC";"Health & Fitness";0;"27.8 MB";NA;NA;NA;8;50;0;0;0;50
1061093769;"Carolina Beer Temple ";"https://itunes.apple.com/us/app/carolina-beer-temple/id1061093769?mt=8";"Historic Downtown Matthews’ Premier Craft Beer Store and Craft Beer Bar.The Carolina Beer Temple app is perfect for frequent visitors to Carolina Beer Temple and Carolina Beer Temple Run Club runners! Keep up with the latest events, runs and more. Keep track of your Run Club miles, check-in at runs and be eligible for prizes!";"Carolina Beer Temple, QwikMobi LLC, Food & Drink, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.1";17;"English";"587141979";"QwikMobi LLC";"Food & Drink";0;"31.1 MB";2016-02-19;2016-02-11;NA;NA;NA;NA;NA;NA;NA
672175251;"Caveman Feast - Paleo Recipes ";"https://itunes.apple.com/us/app/caveman-feast-paleo-recipes/id672175251?mt=8";"Caveman Feast for iPhone, iPad and Apple Watch contains 250 delicious Paleo recipes that are beautifully illustrated and easy to follow.There's nothing really revolutionary about the Paleo diet. It's what our grandma's have been telling us for years: ""Eat real foods that are healthy, avoid highly processed factory foods and you'll feel better and live happier"".Whether you call it Paleo, real food, low carb, low sugar, grain-free, gluten-free ancestral, nutrient-dense, primal or whole food - the important thing is that the Paleo diet is a healthier way of eating. The list of benefits people have reported is enormous: <U+25CF> Weight loss <U+25CF> More energy that doesn't vary wildly throughout the day <U+25CF> Improved sleep <U+25CF> Clearer skin <U+25CF> Better digestion <U+25CF> Improved fitness <U+25CF> Reduced allergies. The list goes on but it's better to try it for yourself.The 250 Paleo recipes included will help satisfy your cravings for delicious, healthy food. Inside Caveman Feast you'll find healthy breakfasts, filling main meals, tasty desserts, side dishes and snacks. Recipes include:<U+25CF> Perfect paleo burger<U+25CF> Paleo french toast<U+25CF> Healthy caveman cookies <U+25CF> Blueberry espresso brownies<U+25CF> Grilled buffalo shrimp<U+25CF> Smoked avocado lime pork chops<U+25CF> Apple dijon burgers<U+25CF> Homemade healthy mayonnaise<U+25CF> Caveman crunch bars<U+25CF> Sweet potato pasta<U+25CF> Beasty BBQ sauce<U+25CF> Caveman shepherd's pieFeatures in the app include:<U+25CF> Add recipes to your shopping list and see it organised by aisle, saving time at the grocery store<U+25CF> Track your calories and macros with our nutritional data<U+25CF> Increase or decrease recipe servings<U+25CF> Search by ingredient<U+25CF> Add notes to recipes<U+25CF> Share recipes with friends<U+25CF> Switch the measurement units<U+25CF> Plan a week of meals<U+25CF> Tick off your shopping list on your Apple Watch<U+25CF> Integrated with Apple HealthThe quick and easy to follow recipes are by New York Times bestselling author George Bryant of civilizedcavemancooking.com. After decades in a constant battle with his weight and nearly losing both his legs while on deployment as a U.S. Marine, George decided to change his life. He went Paleo. What started as a simple website to share recipes with friends, has since grown into an award-winning food blog. After being in the Marines for 12 years, George now enjoys creating delicious Paleo recipes full-time, hoping to change as many lives as he can with real food recipes.George works in collaboration with Abel James from the chart topping podcast ""The Fat-Burning Man show"" where he covers the Paleo lifestyle. Abel has been featured in Men's Health, Popular Science and Wired Magazine. You'll find exclusive content from Abel inside the app.Note: For users upgradingCaveman Feast 3.0 is available as a free update on iOS 9.3 and above. Our previous 50 recipe in app purchase has been unlocked for everyone. We've added a new 60 recipe pack which can be added through a one off in app purchase.Note: Optional Meal Planner Pro SubscriptionMeal Planner Pro is available as a monthly (0.99 USD) or yearly (5.99 USD) subscription. The subscription will automatically renew unless cancelled at least 24 hours prior to the end of the subscription period. There is no increase in price when renewing. Payment will be charged through your iTunes account at confirmation of purchase. Once purchased, refunds will not be provided for any unused portion of the term. Your subscription may be managed and auto-renewal may be turned off by going to your iTunes Account Settings after purchase.Privacy policy: http://nibbleapps.com/privacy/";"Caveman Feast - Paleo Recipes, Nibble Apps Ltd, Food & Drink, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"3.2";12;"English";"900888256";"Nibble Apps Ltd";"Food & Drink";0;"111 MB";2018-09-25;2013-07-22;NA;88;77;2;7;7;7
592120621;"CBA LaCrosse Mobile ";"https://itunes.apple.com/us/app/cba-lacrosse-mobile/id592120621?mt=8";"CBA LaCrosse MobileCBA of LaCrosse, Wisconsin welcomes you to our app page. We hope it will provide you easy access to your online information.Want to look up the status of a medical claim? Or email your health insurance ID Card? How about checking your eligibility information or sending a question to your health insurance provider? <U+2028><U+2028>CBA Mobile puts our most popular online features at your fingertips. Check a claim. View your virtual member ID card. Access your eligibility information or just ask a question. <U+2028><U+2028> FEATURES<U+2028><U+2028> My Summary (Benefits and Coverage Information), ID Card (ID Card Information), Claims (Medical, Dental, Lab, Pharmacy), About Us, AND MORE coming soon! <U+2028><U+2028><U+2028> LOOK UP CLAIMSSee your ten most recent claims. Get a detailed view of each one. Or look up specific medical, dental and pharmacy claims by member name. VIEW YOUR MEMBER ID CARD<U+2028> View the front and back information on your ID cards whenever you need to. Email the card information to your provider or whoever requires it at the time. VIEW YOUR BENEFITS AND COVERAGE INFORMATION<U+2028> Until you experience it, you may never have realized how helpful it is to have your benefits and coverage information right at your fingertips. SECURITYYou must always sign in with your User Name and Password to access the features in this app. Without that information, no one can reach your personal data. It is safe. CAN’T ACCESS THE APPS FEATURES? <U+2028> You must sign in to access the app’s features. Only members whose employers use CBA LaCrosse Mobile are allowed to Login and use the app.<U+2028><U+2028> REQUIREMENTS<U+2028> The CBA LaCrosse Mobile app is compatible with iPhone, iPod Touch, and requires iOS 4.3 or later";"CBA LaCrosse Mobile, Benefit Plan Administrators of Eau Claire, Health & Fitness, Medical, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.0.2";12;"English, German";"565642217";"Minton Financial Services, Inc.";"Health & Fitness";0;"4 MB";NA;2013-01-12;NA;NA;NA;NA;NA;NA;NA
839717961;"CCAT ";"https://itunes.apple.com/us/app/ccat/id839717961?mt=8";"CAT’s App was designed for CAT’s Recovering Alumni as well as anyone recovering from drug and alcohol addiction in the Greater Cincinnati Area.   The App has links to daily meditations from both Alcoholics Anonymous and Narcotics Anonymous as well as the listing of the 12 Steps from each fellowship.  The App can be personalized as the front page has the date the individual became either clean or sober along with a total day count.  The last page has emergency hotline phone numbers for local AA and NA Chapters and can be personalized to speed dial up to two individual sponsors (if using an IPhone.)  There are also links to local recovery resources and the CAT Alumni & Friends on CAT’s website www.ccatsober.org.";"CCAT, Center for Chemical Addictions Treatment, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";12;"English";"839717964";"Center for Chemical Addictions Treatment";"Medical";0;"5 MB";2015-05-28;2014-03-18;NA;NA;NA;NA;NA;NA;NA
1364464518;"CD Young Karate ";"https://itunes.apple.com/us/app/cd-young-karate/id1364464518?mt=8";"Sign Up for Special Events, School Information, Refer Friends, Schedules.  Learn more about our Family Karate Program in Henderson/Las Vegas.";"CD Young Karate, MyStudio Academy LLC, Health & Fitness, Sports, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"2.0.0";4;"English";"1258207229";"MyStudio Academy LLC";"Health & Fitness";0;"22.7 MB";2018-09-10;2018-03-30;NA;NA;NA;NA;NA;NA;NA
1065064215;"CDHP/FSA ";"https://itunes.apple.com/us/app/cdhp-fsa/id1065064215?mt=8";"Save time and hassles while making the most of your HSA, HRA, and FSA health benefit accounts by quickly checking your balances and details. Our secure app makes managing your health benefits easy through real-time access and intuitive navigation to all your important account information on the go!  Powerful features of the app include:Easy, Convenient & Secure•	Simply login to the intuitive app using your same health benefits website username and password (or follow alternative instructions if provided) •	No sensitive account information is ever stored on your mobile deviceConnects You with the Details •	Quickly check available balances 24/7 •	View charts summarizing account(s) •	View claims requiring receipts•	Click to call or email Customer ServiceProvides Additional Time-Saving Options (if supported or applicable to your account(s))  •	File a claim towards your medical FSA and HRA•	Take or upload a picture of a receipt and submit for a new or existing claim•	View, contribute and distribute HSA transactions•	Pay bills from any account and add a payee•	Using the Dashboard, enter medical expense information and supporting documentation•	Retrieve your forgot username/password•	Report a debit card as lost or stolenPowered by WEX Health®";"CDHP/FSA, Evolution1, Inc., Health & Fitness, Finance, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"4.8";4;"English";"464327968";"Evolution1, Inc.";"Health & Fitness";0;"11.6 MB";2017-03-28;2015-12-10;NA;25;4;0;0;4;92
