"ID";"Name";"URL";"Description";"NC.1.0";"SA1";"SA2";"SA3";"SA4";"X.";"Notes";"X";"X.1";"Tipo";"V1";"V2";"V3"
1071743060;"Korean Journal of Medical Education for iPad";"https://itunes.apple.com/us/app/korean-journal-of-medical-education-for-ipad/id1071743060?mt=8";"The Korean Journal of Medical Education is the official publication of the Korean Society of Medical Education. It aims at development of the medical education by disseminating systematic and scientific research results on educational system, goals, methods, and evaluation in the field of medical health professions. The Korean Journal of Medical Education publishes high quality papers on themes related to health professional education including but not limited to Curriculum planning and development, Communication skills, Student selection, Teaching and learning method, Problem-based learning, Team-based learning, Professionalism, Educational policy, Leadership, Evaluation and assessment, Objective Structured Clinical Examination, Clinical Performance Examination, Evidence based medical education and Interprofessional medical education.";1;"across specialties";"";"";NA;NA;"è sulla salute ma non so a che classe associarlo ";"";NA;"Test";"Across";NA;NA
1166859047;"Creative Christmas Hd Frames - Design scrapbook";"https://itunes.apple.com/us/app/creative-christmas-hd-frames-design-scrapbook/id1166859047?mt=8";"Would you like your pictures to be appearing in the beautiful frame? These fantasy frames are ideal for you to frame your memories and make them unforgettable. Using this app you can make photos more beautiful by decorating them with fantastic photo frames and effects.This app is the special Edition for this Year. Make your holidays as a great moment using this creative 500+ online frames.Features----------------------------------------------------------------- Select a photo from the gallery or take photos using camera.- Multiple stylish photo frames for your picture.- Apply effects to your picture.- Adjust position, size, angle of your photo by just finger gestures.- Save your image to Gallery.- Easy to use.- Share your creations via Facebook, Twitter, Flickr, email, and other social networks.";0;"";"";"";NA;NA;"";"";NA;"Test";"Across";NA;NA
435214690;"EMT Tutor Lite - Scenarios";"https://itunes.apple.com/us/app/emt-tutor-lite-scenarios/id435214690?mt=8";"EMT Scenarios is now EMT tutor lite, with a practice quiz and flashcards. EMTutor presents over 50 scenarios written for the EMT based on real life situations. Also a practice test, and practice flashcards. Use the EMTutor Lite to see where you stand with recent updates with EMT Basic material. The scenarios are intended to be discussion generators for field instructors, teachers and mentors, or to aid the individual learning process. The discussions will expose gaps in the knowledge base and aid in the learning process. It is great for the seasoned EMT or those currently in class. Instructors can use these to take students through clinical practice or to aid in the development of EMT classes.There is also an app upgrade available to the full EMTutor which also includes over 900 multiple choice questions, and 900 flashcards, Skill Sheets, Differential Rule-outs, and Scene Checkoffs. Enjoy and stay safe out there!";0;"";"";"";NA;NA;"non saprei, è sull'apprendimento, forse non è medica, anzi per me non è medica";"";NA;"Test";"Across";NA;NA
1150984188;"Mobaflex";"https://itunes.apple.com/us/app/mobaflex/id1150984188?mt=8";"Mobaflex is a Joint Monitoring System for Post-Operative Orthopedic PatientsOur wearable monitoring system comes in an all-inclusive kit which is leased to the patient for the 90 day at home recovery period for total knee arthroplasty. The comfortable Mobaflex band provides accurate range of motion monitoring to within a 5 degree accuracy, and submits data wirelessly to the Mobaflex app. The Mobaflex app is accessible by patients and providers, and allows for easy communication between patient and treatment team, accurate monitoring of progression, and convenient use from anywhere, at any time.";1;"across specialties";"";"";NA;NA;"è un app ortopedica per monitoraggio post operatorio, ma ortopedia non c'è, come la segno? ###FRA### Io metterei solo across";"";NA;"Test";"Across";NA;NA
1152309322;"EVAC5";"https://itunes.apple.com/us/app/evac5/id1152309322?mt=8";"EVAC5 is an application available for use in emergencies. When the panic button is activated, EVAC5 uses your phone's GPS in order to determine your location. In the event that no GPS location is available, the application will plot your location via your network's cell phone towers.Your panic alert, location information and cell phone number are routed to the ER24 EMS contact centre. A contact centre co-ordinator will attempt to reach you telephonically, determine the nature of the emergency and send out the appropriate response unit.";1;"emergency medicine";"";"";NA;NA;"situzioni di emergenza, vieni tracciato ####FRA### Ho tolto sensory systems perché secondo me emergency basta";"";NA;"Test";"Across";NA;NA
1332143119;"My Daily Weight";"https://itunes.apple.com/us/app/my-daily-weight/id1332143119?mt=8";"Control your daily weight and reach your goal!Track your progress and compare your progress with a pre-set goal.Visualize your weight and your goal through graphics.Do not lose your information. Data is stored in the cloud and can be accessed through other devices.";0;"";"";"";NA;NA;"controllo del peso del peso, non ha scopi medici sembrerebbe ";"";NA;"Test";"Across";NA;NA
1101203009;"MED Q&A";"https://itunes.apple.com/us/app/med-q-a/id1101203009?mt=8";"Med Q&A is building an alternative to Health Insurance for people who cannot afford the real cost of Healthcare. At medqanda.com, we connect Survivors with all forms of Cancer with each other (as well as with HIV and many other medical and health conditions) and help them Video Conference with each other immediately. IT'S FREE!Med Q&A is composed of 11 major features: 1)Visualization, 2)  EMR Network, 3) 10-Minute Video Conference, 4) Community/Social Network, 5) Marketplace (services and medical devices), 6) Doctor Network, 7) Nurse/Caregiver Network, 8) Disability Employment HQ, 9) Tissue/Organ Donor Network, 10) Support Groups, 11) Video Conference Events and Webinars1) Visualization: Med Q&A Users receive a 3D-like Avatar, which lights up with different colors depending on the health condition they have, which they can control, which they can animate and select poses. Further, they can upload their favorite song & select a 3D background, etc. They can express themselves in a new, unique way.When the user designates his medical data as Anonymous and Public (as opposed to Anonymous and Private), he or she will be able to communicate with everyone else who has the same health condition he or she has, who is also ""Anonymous and Public."" Similarly, he or she will be able to receive communications from other people who have the same health condition.2) EMR Network: Med Q&A  provides this free-of-charge to individuals, health clinics and underfunded medical centers throughout the country. 3) 10-Minute Video Conference: Med Q&A helps Users (who, in general, do not have health insurance) speak with a doctor face-to-face. 4) Marketplace: Med Q&A healthcare-centric Marketplace focuses on healthcare equipment and medical devices. Each person's profile will already contain whether they are willing to a) donate or b) buy or c) sell or d) lend e) borrow and f) rent  prosthetics, wheelchairs, miscellaneous medical devices, services or tasks, etc.5) Doctor, Nurse/Caregiver and Healthcare Professional Networks: Med Q&A Users can easily make contact with a Healthcare professional. 6) Disability Employment HQ: Disabled persons can upload their resumes and enable potential employers to invite them to a video meeting.7) Tissue/Organ Donor Network: Repository for users who wish to donate tissue (i.e., plasma, platelets, hair, sperm, eggs, etc.) or are seeking tissue donors. 8) Support Groups (Video Conference): Med Q&A provides free (video conference) Support Groups for Survivors of almost every medical and health condition.9) Video Conference Events and Webinars: Med Q&A provides free Webinars for Survivors of almost every medical and health condition. Check our Event Schedule to participate in one right away!";1;"across specialties";"";"";NA;NA;"è un sistema di sostituzione dell'assicurazione sanitaria, non so in che categoria metterla ";"";NA;"Test";"Oncology";"EmergencyMedicine";NA
1317929229;"Zen Leaf";"https://itunes.apple.com/us/app/zen-leaf/id1317929229?mt=8";"Zen Leaf is one of the nations premier cannabis dispensaries, where nature meets medicine. Zen Leaf proudly serves patients and customers in Maryland and Nevada, and is committed to providing a serene and comfortable environment for our patrons. Our team is extensively trained on our vast selection of cannabis products, and will work with you to tailor a custom regime specific to your individual needs. By building unique relationships with everyone who walks in our doors, Zen Leaf is dedicated to providing unmatched customer service with a customer-first approach.Zen Leaf stocks a wide array of products to match our customers varied tastes and preferences, and only offers for sale products which meet our high quality, potency, and safety standards.Use the Zen Leaf app to learn more about our dispensary, browse our current menu of products, review the latest deals and specials, learn how to legally purchase cannabis at one of our stores, and order products for pickup. Additionally, you may use the Zen Leaf app in select markets to order products for delivery right to your door!";1;"across specialties";"";"";NA;NA;"fornisce medicinale a base di cannabis adeguandoli da persona a persona";"";NA;"Test";"SensorySystemsHealthcare";NA;NA
1183191489;"Workout Trainer-Personal Trainer App";"https://itunes.apple.com/us/app/workout-trainer-personal-trainer-app/id1183191489?mt=8";"Full Fitness Workouts  is comprehensive fitness experience is the portable personal trainer that completely guides your fitness lifestyle.  Full Fitness is for everyone, whether you are new to fitness or a seasoned veteran. Its also the definitive app for fitness professionals, coaches and physical therapists.FEATURES:  Two different 5 to 10 minute upper & lower body workouts Great for both men and women Video showing how to do each exercise  Developed by a certified personal trainer On-screen instructions and timer No gym or workout equipment required  Integrates with Health app Get Fitness Challange and become Fit in a days Great for both men and women Diet Plain for weightloss and healthy food is availible";0;"";"";"";NA;NA;"app di fitness per l'allenamento, non medica";"";NA;"Test";"MentalHealth&Neurology";"Nutrition";NA
1352280983;"Timer for HIIT training";"https://itunes.apple.com/us/app/timer-for-hiit-training/id1352280983?mt=8";"Were proud to introduce this handy interval timer that helps you keep track of your work and rest periods during your HIIT interval training and workouts. This app is an awesome training timer, whether you're working on cycling, running, lifting weights, exercise, workout, stretching, boxing, MMA or HIIT, this interval timer will prove to be an invaluable asset for your HIIT interval training.This app can be used as HIIT timer, tabata timer, round timer, and anything else about interval training you want to track.Tabata timer is a full featured, easy to use Tabata timer Crossfit HIIT Interval training, kettle bells, running, cycling, or any interval fitness training.FEATURES:* 3 programmable timers * Customize all time settings* Customize number of series* Customize number of repetitions* easy to hear alerts* pause and resume session* restart session where you left off if interrupted* mute sound use in silent mode* screen changecolor for visual cue* Speaking coachIf you like this app please consider writing a positive review on the App Store, thank you.This will help us to add new features, fix any bugs, and improve implementation.";0;"";"";"";NA;NA;"app di fitness per l'allenamento non medica";"";NA;"Test";"EmergencyMedicine";"SensorySystemsHealthcare";NA
